Item,Quantity,Name,Material
1,1,adxl345-bmg,PETG
2,2,DIN 912 M3 25 mm,Hardened Alloy Steel
3,1,Part 1,- None -
4,1,Part 2,- None -
5,2,ISO 7380 M3 6 mm,- None -
